# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.23, 40.135, 130.0
-105.23, 40.14, 130.0
-105.23, 40.145, 130.0
-105.23, 40.15, 130.0
-105.23, 40.155, 130.0
-105.23, 40.16, 130.0
-105.23, 40.165, 130.0
-105.23, 40.17, 130.0
-105.23, 40.175, 130.0
-105.23, 40.18, 130.0
-105.23, 40.185, 210.0
-105.23, 40.19, 210.0
-105.225, 39.945, 130.0
-105.225, 39.95, 130.0
-105.225, 39.955, 130.0
-105.225, 39.96, 130.0
-105.225, 39.965, 130.0
-105.225, 39.97, 130.0
-105.225, 39.975, 130.0
-105.225, 39.98, 130.0
-105.225, 39.985, 190.0
-105.225, 39.99, 190.0
-105.225, 39.995, 190.0
-105.225, 40, 130.0
-105.225, 40.005, 130.0
-105.225, 40.01, 190.0
-105.225, 40.015, 190.0
-105.225, 40.02, 190.0
-105.225, 40.025, 190.0
-105.225, 40.03, 190.0
-105.225, 40.035, 190.0
-105.225, 40.04, 190.0
-105.225, 40.045, 130.0
-105.225, 40.05, 130.0
-105.225, 40.055, 130.0
-105.225, 40.06, 190.0
-105.225, 40.065, 190.0
-105.225, 40.07, 210.0
-105.225, 40.075, 210.0
-105.225, 40.08, 210.0
-105.225, 40.085, 210.0
-105.225, 40.09, 130.0
-105.225, 40.095, 130.0
-105.225, 40.1, 130.0
-105.225, 40.105, 130.0
-105.225, 40.11, 130.0
-105.225, 40.115, 130.0
-105.225, 40.12, 130.0
-105.225, 40.125, 130.0
-105.225, 40.13, 130.0
-105.225, 40.135, 130.0
-105.225, 40.14, 130.0
-105.225, 40.145, 130.0
-105.225, 40.15, 130.0
-105.225, 40.155, 130.0
-105.225, 40.16, 130.0
-105.225, 40.165, 130.0
-105.225, 40.17, 130.0
-105.225, 40.175, 130.0
-105.225, 40.18, 130.0
-105.225, 40.185, 210.0
-105.225, 40.19, 210.0
-105.22, 39.945, 130.0
-105.22, 39.95, 210.0
-105.22, 39.955, 130.0
-105.22, 39.96, 130.0
-105.22, 39.965, 130.0
-105.22, 39.97, 130.0
-105.22, 39.975, 130.0
-105.22, 39.98, 130.0
-105.22, 39.985, 10.0
-105.22, 39.99, 130.0
-105.22, 39.995, 130.0
-105.22, 40, 130.0
-105.22, 40.005, 130.0
-105.22, 40.01, 190.0
-105.22, 40.015, 190.0
-105.22, 40.02, 190.0
-105.22, 40.025, 190.0
-105.22, 40.03, 190.0
-105.22, 40.035, 210.0
-105.22, 40.04, 190.0
-105.22, 40.045, 130.0
-105.22, 40.05, 130.0
-105.22, 40.055, 190.0
-105.22, 40.06, 190.0
-105.22, 40.065, 190.0
-105.22, 40.07, 190.0
-105.22, 40.075, 210.0
-105.22, 40.08, 210.0
-105.22, 40.085, 210.0
-105.22, 40.09, 130.0
-105.22, 40.095, 130.0
-105.22, 40.1, 130.0
-105.22, 40.105, 130.0
-105.22, 40.11, 130.0
-105.22, 40.115, 130.0
-105.22, 40.12, 130.0
