# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.17, 40.105, 190.0
-105.17, 40.11, 130.0
-105.17, 40.115, 190.0
-105.17, 40.12, 130.0
-105.17, 40.125, 130.0
-105.17, 40.13, 130.0
-105.17, 40.135, 130.0
-105.17, 40.14, 130.0
-105.17, 40.145, 130.0
-105.17, 40.15, 130.0
-105.17, 40.155, 130.0
-105.17, 40.16, 130.0
-105.17, 40.165, 130.0
-105.17, 40.17, 11.0
-105.17, 40.175, 130.0
-105.17, 40.18, 40.0
-105.17, 40.185, 130.0
-105.17, 40.19, 130.0
-105.165, 39.945, 130.0
-105.165, 39.95, 130.0
-105.165, 39.955, 130.0
-105.165, 39.96, 190.0
-105.165, 39.965, 190.0
-105.165, 39.97, 190.0
-105.165, 39.975, 130.0
-105.165, 39.98, 190.0
-105.165, 39.985, 190.0
-105.165, 39.99, 190.0
-105.165, 39.995, 130.0
-105.165, 40, 130.0
-105.165, 40.005, 130.0
-105.165, 40.01, 40.0
-105.165, 40.015, 40.0
-105.165, 40.02, 130.0
-105.165, 40.025, 130.0
-105.165, 40.03, 130.0
-105.165, 40.035, 130.0
-105.165, 40.04, 130.0
-105.165, 40.045, 130.0
-105.165, 40.05, 130.0
-105.165, 40.055, 130.0
-105.165, 40.06, 130.0
-105.165, 40.065, 130.0
-105.165, 40.07, 130.0
-105.165, 40.075, 130.0
-105.165, 40.08, 130.0
-105.165, 40.085, 130.0
-105.165, 40.09, 130.0
-105.165, 40.095, 190.0
-105.165, 40.1, 190.0
-105.165, 40.105, 130.0
-105.165, 40.11, 130.0
-105.165, 40.115, 130.0
-105.165, 40.12, 130.0
-105.165, 40.125, 130.0
-105.165, 40.13, 130.0
-105.165, 40.135, 130.0
-105.165, 40.14, 130.0
-105.165, 40.145, 130.0
-105.165, 40.15, 130.0
-105.165, 40.155, 130.0
-105.165, 40.16, 130.0
-105.165, 40.165, 190.0
-105.165, 40.17, 120.0
-105.165, 40.175, 130.0
-105.165, 40.18, 40.0
-105.165, 40.185, 40.0
-105.165, 40.19, 40.0
-105.16, 39.945, 11.0
-105.16, 39.95, 130.0
-105.16, 39.955, 130.0
-105.16, 39.96, 190.0
-105.16, 39.965, 190.0
-105.16, 39.97, 190.0
-105.16, 39.975, 190.0
-105.16, 39.98, 190.0
-105.16, 39.985, 190.0
-105.16, 39.99, 190.0
-105.16, 39.995, 130.0
-105.16, 40, 190.0
-105.16, 40.005, 130.0
-105.16, 40.01, 40.0
-105.16, 40.015, 40.0
-105.16, 40.02, 130.0
-105.16, 40.025, 130.0
-105.16, 40.03, 130.0
-105.16, 40.035, 130.0
-105.16, 40.04, 130.0
-105.16, 40.045, 130.0
-105.16, 40.05, 130.0
-105.16, 40.055, 130.0
-105.16, 40.06, 130.0
-105.16, 40.065, 130.0
-105.16, 40.07, 130.0
-105.16, 40.075, 130.0
-105.16, 40.08, 130.0
-105.16, 40.085, 130.0
-105.16, 40.09, 130.0
