# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.22, 40.13, 130.0
-105.22, 40.135, 130.0
-105.22, 40.14, 130.0
-105.22, 40.145, 130.0
-105.22, 40.15, 130.0
-105.22, 40.155, 130.0
-105.22, 40.16, 130.0
-105.22, 40.165, 130.0
-105.22, 40.17, 130.0
-105.22, 40.175, 130.0
-105.22, 40.18, 130.0
-105.22, 40.185, 130.0
-105.22, 40.19, 130.0
-105.215, 39.945, 210.0
-105.215, 39.95, 210.0
-105.215, 39.955, 130.0
-105.215, 39.96, 130.0
-105.215, 39.965, 130.0
-105.215, 39.97, 130.0
-105.215, 39.975, 130.0
-105.215, 39.98, 130.0
-105.215, 39.985, 10.0
-105.215, 39.99, 130.0
-105.215, 39.995, 210.0
-105.215, 40, 130.0
-105.215, 40.005, 190.0
-105.215, 40.01, 190.0
-105.215, 40.015, 190.0
-105.215, 40.02, 190.0
-105.215, 40.025, 130.0
-105.215, 40.03, 190.0
-105.215, 40.035, 130.0
-105.215, 40.04, 130.0
-105.215, 40.045, 130.0
-105.215, 40.05, 130.0
-105.215, 40.055, 190.0
-105.215, 40.06, 190.0
-105.215, 40.065, 190.0
-105.215, 40.07, 190.0
-105.215, 40.075, 130.0
-105.215, 40.08, 210.0
-105.215, 40.085, 210.0
-105.215, 40.09, 210.0
-105.215, 40.095, 130.0
-105.215, 40.1, 130.0
-105.215, 40.105, 130.0
-105.215, 40.11, 130.0
-105.215, 40.115, 130.0
-105.215, 40.12, 130.0
-105.215, 40.125, 130.0
-105.215, 40.13, 130.0
-105.215, 40.135, 130.0
-105.215, 40.14, 130.0
-105.215, 40.145, 130.0
-105.215, 40.15, 130.0
-105.215, 40.155, 130.0
-105.215, 40.16, 130.0
-105.215, 40.165, 130.0
-105.215, 40.17, 130.0
-105.215, 40.175, 130.0
-105.215, 40.18, 130.0
-105.215, 40.185, 130.0
-105.215, 40.19, 130.0
-105.21, 39.945, 210.0
-105.21, 39.95, 210.0
-105.21, 39.955, 130.0
-105.21, 39.96, 130.0
-105.21, 39.965, 130.0
-105.21, 39.97, 130.0
-105.21, 39.975, 40.0
-105.21, 39.98, 40.0
-105.21, 39.985, 10.0
-105.21, 39.99, 130.0
-105.21, 39.995, 210.0
-105.21, 40, 210.0
-105.21, 40.005, 190.0
-105.21, 40.01, 190.0
-105.21, 40.015, 190.0
-105.21, 40.02, 190.0
-105.21, 40.025, 130.0
-105.21, 40.03, 190.0
-105.21, 40.035, 210.0
-105.21, 40.04, 210.0
-105.21, 40.045, 190.0
-105.21, 40.05, 130.0
-105.21, 40.055, 190.0
-105.21, 40.06, 190.0
-105.21, 40.065, 190.0
-105.21, 40.07, 190.0
-105.21, 40.075, 120.0
-105.21, 40.08, 130.0
-105.21, 40.085, 190.0
-105.21, 40.09, 210.0
-105.21, 40.095, 130.0
-105.21, 40.1, 130.0
-105.21, 40.105, 130.0
-105.21, 40.11, 130.0
-105.21, 40.115, 130.0
