# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.21, 40.125, 130.0
-105.21, 40.13, 130.0
-105.21, 40.135, 130.0
-105.21, 40.14, 130.0
-105.21, 40.145, 130.0
-105.21, 40.15, 130.0
-105.21, 40.155, 130.0
-105.21, 40.16, 130.0
-105.21, 40.165, 130.0
-105.21, 40.17, 130.0
-105.21, 40.175, 130.0
-105.21, 40.18, 130.0
-105.21, 40.185, 130.0
-105.21, 40.19, 130.0
-105.205, 39.945, 130.0
-105.205, 39.95, 130.0
-105.205, 39.955, 130.0
-105.205, 39.96, 130.0
-105.205, 39.965, 130.0
-105.205, 39.97, 130.0
-105.205, 39.975, 130.0
-105.205, 39.98, 130.0
-105.205, 39.985, 130.0
-105.205, 39.99, 130.0
-105.205, 39.995, 210.0
-105.205, 40, 210.0
-105.205, 40.005, 210.0
-105.205, 40.01, 190.0
-105.205, 40.015, 190.0
-105.205, 40.02, 190.0
-105.205, 40.025, 210.0
-105.205, 40.03, 130.0
-105.205, 40.035, 190.0
-105.205, 40.04, 190.0
-105.205, 40.045, 130.0
-105.205, 40.05, 190.0
-105.205, 40.055, 190.0
-105.205, 40.06, 190.0
-105.205, 40.065, 190.0
-105.205, 40.07, 190.0
-105.205, 40.075, 190.0
-105.205, 40.08, 130.0
-105.205, 40.085, 190.0
-105.205, 40.09, 190.0
-105.205, 40.095, 130.0
-105.205, 40.1, 130.0
-105.205, 40.105, 130.0
-105.205, 40.11, 130.0
-105.205, 40.115, 130.0
-105.205, 40.12, 10.0
-105.205, 40.125, 10.0
-105.205, 40.13, 130.0
-105.205, 40.135, 130.0
-105.205, 40.14, 130.0
-105.205, 40.145, 130.0
-105.205, 40.15, 130.0
-105.205, 40.155, 130.0
-105.205, 40.16, 130.0
-105.205, 40.165, 130.0
-105.205, 40.17, 130.0
-105.205, 40.175, 130.0
-105.205, 40.18, 130.0
-105.205, 40.185, 130.0
-105.205, 40.19, 40.0
-105.2, 39.945, 130.0
-105.2, 39.95, 130.0
-105.2, 39.955, 130.0
-105.2, 39.96, 130.0
-105.2, 39.965, 130.0
-105.2, 39.97, 130.0
-105.2, 39.975, 130.0
-105.2, 39.98, 130.0
-105.2, 39.985, 130.0
-105.2, 39.99, 130.0
-105.2, 39.995, 190.0
-105.2, 40, 130.0
-105.2, 40.005, 130.0
-105.2, 40.01, 190.0
-105.2, 40.015, 190.0
-105.2, 40.02, 210.0
-105.2, 40.025, 210.0
-105.2, 40.03, 130.0
-105.2, 40.035, 130.0
-105.2, 40.04, 210.0
-105.2, 40.045, 70.0
-105.2, 40.05, 70.0
-105.2, 40.055, 130.0
-105.2, 40.06, 190.0
-105.2, 40.065, 190.0
-105.2, 40.07, 190.0
-105.2, 40.075, 190.0
-105.2, 40.08, 130.0
-105.2, 40.085, 130.0
-105.2, 40.09, 190.0
-105.2, 40.095, 190.0
-105.2, 40.1, 130.0
-105.2, 40.105, 130.0
-105.2, 40.11, 130.0
