# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.15, 40.095, 190.0
-105.15, 40.1, 190.0
-105.15, 40.105, 190.0
-105.15, 40.11, 10.0
-105.15, 40.115, 130.0
-105.15, 40.12, 130.0
-105.15, 40.125, 130.0
-105.15, 40.13, 130.0
-105.15, 40.135, 11.0
-105.15, 40.14, 190.0
-105.15, 40.145, 190.0
-105.15, 40.15, 130.0
-105.15, 40.155, 130.0
-105.15, 40.16, 130.0
-105.15, 40.165, 130.0
-105.15, 40.17, 190.0
-105.15, 40.175, 190.0
-105.15, 40.18, 190.0
-105.15, 40.185, 190.0
-105.15, 40.19, 190.0
-105.145, 39.945, 130.0
-105.145, 39.95, 130.0
-105.145, 39.955, 190.0
-105.145, 39.96, 190.0
-105.145, 39.965, 130.0
-105.145, 39.97, 190.0
-105.145, 39.975, 190.0
-105.145, 39.98, 190.0
-105.145, 39.985, 190.0
-105.145, 39.99, 190.0
-105.145, 39.995, 190.0
-105.145, 40, 130.0
-105.145, 40.005, 190.0
-105.145, 40.01, 190.0
-105.145, 40.015, 190.0
-105.145, 40.02, 190.0
-105.145, 40.025, 130.0
-105.145, 40.03, 10.0
-105.145, 40.035, 130.0
-105.145, 40.04, 130.0
-105.145, 40.045, 11.0
-105.145, 40.05, 130.0
-105.145, 40.055, 130.0
-105.145, 40.06, 130.0
-105.145, 40.065, 130.0
-105.145, 40.07, 130.0
-105.145, 40.075, 130.0
-105.145, 40.08, 10.0
-105.145, 40.085, 10.0
-105.145, 40.09, 130.0
-105.145, 40.095, 130.0
-105.145, 40.1, 130.0
-105.145, 40.105, 190.0
-105.145, 40.11, 10.0
-105.145, 40.115, 130.0
-105.145, 40.12, 130.0
-105.145, 40.125, 10.0
-105.145, 40.13, 130.0
-105.145, 40.135, 190.0
-105.145, 40.14, 190.0
-105.145, 40.145, 190.0
-105.145, 40.15, 190.0
-105.145, 40.155, 130.0
-105.145, 40.16, 190.0
-105.145, 40.165, 190.0
-105.145, 40.17, 210.0
-105.145, 40.175, 190.0
-105.145, 40.18, 190.0
-105.145, 40.185, 190.0
-105.145, 40.19, 190.0
-105.14, 39.945, 130.0
-105.14, 39.95, 130.0
-105.14, 39.955, 130.0
-105.14, 39.96, 130.0
-105.14, 39.965, 130.0
-105.14, 39.97, 190.0
-105.14, 39.975, 190.0
-105.14, 39.98, 190.0
-105.14, 39.985, 190.0
-105.14, 39.99, 190.0
-105.14, 39.995, 130.0
-105.14, 40, 190.0
-105.14, 40.005, 190.0
-105.14, 40.01, 190.0
-105.14, 40.015, 190.0
-105.14, 40.02, 190.0
-105.14, 40.025, 130.0
-105.14, 40.03, 130.0
-105.14, 40.035, 10.0
-105.14, 40.04, 130.0
-105.14, 40.045, 130.0
-105.14, 40.05, 130.0
-105.14, 40.055, 130.0
-105.14, 40.06, 130.0
-105.14, 40.065, 130.0
-105.14, 40.07, 130.0
-105.14, 40.075, 130.0
-105.14, 40.08, 10.0
