# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.16, 40.1, 190.0
-105.16, 40.105, 130.0
-105.16, 40.11, 130.0
-105.16, 40.115, 130.0
-105.16, 40.12, 130.0
-105.16, 40.125, 130.0
-105.16, 40.13, 130.0
-105.16, 40.135, 130.0
-105.16, 40.14, 130.0
-105.16, 40.145, 190.0
-105.16, 40.15, 190.0
-105.16, 40.155, 190.0
-105.16, 40.16, 190.0
-105.16, 40.165, 190.0
-105.16, 40.17, 190.0
-105.16, 40.175, 190.0
-105.16, 40.18, 130.0
-105.16, 40.185, 130.0
-105.16, 40.19, 40.0
-105.155, 39.945, 70.0
-105.155, 39.95, 130.0
-105.155, 39.955, 190.0
-105.155, 39.96, 190.0
-105.155, 39.965, 190.0
-105.155, 39.97, 190.0
-105.155, 39.975, 190.0
-105.155, 39.98, 190.0
-105.155, 39.985, 190.0
-105.155, 39.99, 190.0
-105.155, 39.995, 190.0
-105.155, 40, 130.0
-105.155, 40.005, 190.0
-105.155, 40.01, 130.0
-105.155, 40.015, 130.0
-105.155, 40.02, 130.0
-105.155, 40.025, 130.0
-105.155, 40.03, 130.0
-105.155, 40.035, 130.0
-105.155, 40.04, 130.0
-105.155, 40.045, 130.0
-105.155, 40.05, 130.0
-105.155, 40.055, 130.0
-105.155, 40.06, 130.0
-105.155, 40.065, 130.0
-105.155, 40.07, 130.0
-105.155, 40.075, 130.0
-105.155, 40.08, 130.0
-105.155, 40.085, 130.0
-105.155, 40.09, 130.0
-105.155, 40.095, 130.0
-105.155, 40.1, 190.0
-105.155, 40.105, 130.0
-105.155, 40.11, 130.0
-105.155, 40.115, 130.0
-105.155, 40.12, 130.0
-105.155, 40.125, 130.0
-105.155, 40.13, 130.0
-105.155, 40.135, 130.0
-105.155, 40.14, 130.0
-105.155, 40.145, 190.0
-105.155, 40.15, 190.0
-105.155, 40.155, 130.0
-105.155, 40.16, 130.0
-105.155, 40.165, 130.0
-105.155, 40.17, 130.0
-105.155, 40.175, 190.0
-105.155, 40.18, 190.0
-105.155, 40.185, 190.0
-105.155, 40.19, 190.0
-105.15, 39.945, 130.0
-105.15, 39.95, 130.0
-105.15, 39.955, 130.0
-105.15, 39.96, 190.0
-105.15, 39.965, 190.0
-105.15, 39.97, 190.0
-105.15, 39.975, 190.0
-105.15, 39.98, 190.0
-105.15, 39.985, 190.0
-105.15, 39.99, 190.0
-105.15, 39.995, 190.0
-105.15, 40, 190.0
-105.15, 40.005, 130.0
-105.15, 40.01, 130.0
-105.15, 40.015, 130.0
-105.15, 40.02, 130.0
-105.15, 40.025, 130.0
-105.15, 40.03, 130.0
-105.15, 40.035, 130.0
-105.15, 40.04, 130.0
-105.15, 40.045, 130.0
-105.15, 40.05, 130.0
-105.15, 40.055, 130.0
-105.15, 40.06, 130.0
-105.15, 40.065, 130.0
-105.15, 40.07, 130.0
-105.15, 40.075, 130.0
-105.15, 40.08, 130.0
-105.15, 40.085, 130.0
