# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.26, 40.15, 130.0
-105.26, 40.155, 130.0
-105.26, 40.16, 130.0
-105.26, 40.165, 130.0
-105.26, 40.17, 130.0
-105.26, 40.175, 130.0
-105.26, 40.18, 130.0
-105.26, 40.185, 130.0
-105.26, 40.19, 130.0
-105.255, 39.945, 130.0
-105.255, 39.95, 130.0
-105.255, 39.955, 130.0
-105.255, 39.96, 130.0
-105.255, 39.965, 130.0
-105.255, 39.97, 190.0
-105.255, 39.975, 190.0
-105.255, 39.98, 190.0
-105.255, 39.985, 190.0
-105.255, 39.99, 190.0
-105.255, 39.995, 190.0
-105.255, 40, 190.0
-105.255, 40.005, 190.0
-105.255, 40.01, 190.0
-105.255, 40.015, 190.0
-105.255, 40.02, 190.0
-105.255, 40.025, 190.0
-105.255, 40.03, 190.0
-105.255, 40.035, 190.0
-105.255, 40.04, 190.0
-105.255, 40.045, 190.0
-105.255, 40.05, 130.0
-105.255, 40.055, 130.0
-105.255, 40.06, 130.0
-105.255, 40.065, 130.0
-105.255, 40.07, 130.0
-105.255, 40.075, 130.0
-105.255, 40.08, 130.0
-105.255, 40.085, 130.0
-105.255, 40.09, 11.0
-105.255, 40.095, 130.0
-105.255, 40.1, 130.0
-105.255, 40.105, 130.0
-105.255, 40.11, 130.0
-105.255, 40.115, 130.0
-105.255, 40.12, 130.0
-105.255, 40.125, 130.0
-105.255, 40.13, 130.0
-105.255, 40.135, 130.0
-105.255, 40.14, 130.0
-105.255, 40.145, 130.0
-105.255, 40.15, 130.0
-105.255, 40.155, 130.0
-105.255, 40.16, 130.0
-105.255, 40.165, 130.0
-105.255, 40.17, 130.0
-105.255, 40.175, 130.0
-105.255, 40.18, 130.0
-105.255, 40.185, 130.0
-105.255, 40.19, 130.0
-105.25, 39.945, 130.0
-105.25, 39.95, 130.0
-105.25, 39.955, 130.0
-105.25, 39.96, 130.0
-105.25, 39.965, 130.0
-105.25, 39.97, 190.0
-105.25, 39.975, 190.0
-105.25, 39.98, 190.0
-105.25, 39.985, 190.0
-105.25, 39.99, 190.0
-105.25, 39.995, 190.0
-105.25, 40, 190.0
-105.25, 40.005, 190.0
-105.25, 40.01, 190.0
-105.25, 40.015, 190.0
-105.25, 40.02, 190.0
-105.25, 40.025, 190.0
-105.25, 40.03, 190.0
-105.25, 40.035, 190.0
-105.25, 40.04, 190.0
-105.25, 40.045, 190.0
-105.25, 40.05, 190.0
-105.25, 40.055, 130.0
-105.25, 40.06, 130.0
-105.25, 40.065, 130.0
-105.25, 40.07, 130.0
-105.25, 40.075, 130.0
-105.25, 40.08, 130.0
-105.25, 40.085, 130.0
-105.25, 40.09, 130.0
-105.25, 40.095, 130.0
-105.25, 40.1, 130.0
-105.25, 40.105, 130.0
-105.25, 40.11, 130.0
-105.25, 40.115, 130.0
-105.25, 40.12, 130.0
-105.25, 40.125, 130.0
-105.25, 40.13, 130.0
-105.25, 40.135, 120.0
