# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.14, 40.09, 130.0
-105.14, 40.095, 130.0
-105.14, 40.1, 130.0
-105.14, 40.105, 10.0
-105.14, 40.11, 10.0
-105.14, 40.115, 130.0
-105.14, 40.12, 10.0
-105.14, 40.125, 10.0
-105.14, 40.13, 130.0
-105.14, 40.135, 130.0
-105.14, 40.14, 130.0
-105.14, 40.145, 190.0
-105.14, 40.15, 190.0
-105.14, 40.155, 190.0
-105.14, 40.16, 190.0
-105.14, 40.165, 190.0
-105.14, 40.17, 210.0
-105.14, 40.175, 190.0
-105.14, 40.18, 190.0
-105.14, 40.185, 190.0
-105.14, 40.19, 190.0
-105.135, 39.945, 130.0
-105.135, 39.95, 130.0
-105.135, 39.955, 130.0
-105.135, 39.96, 130.0
-105.135, 39.965, 130.0
-105.135, 39.97, 190.0
-105.135, 39.975, 190.0
-105.135, 39.98, 190.0
-105.135, 39.985, 190.0
-105.135, 39.99, 190.0
-105.135, 39.995, 130.0
-105.135, 40, 190.0
-105.135, 40.005, 130.0
-105.135, 40.01, 130.0
-105.135, 40.015, 190.0
-105.135, 40.02, 190.0
-105.135, 40.025, 190.0
-105.135, 40.03, 130.0
-105.135, 40.035, 10.0
-105.135, 40.04, 130.0
-105.135, 40.045, 130.0
-105.135, 40.05, 130.0
-105.135, 40.055, 130.0
-105.135, 40.06, 130.0
-105.135, 40.065, 130.0
-105.135, 40.07, 130.0
-105.135, 40.075, 130.0
-105.135, 40.08, 10.0
-105.135, 40.085, 130.0
-105.135, 40.09, 130.0
-105.135, 40.095, 130.0
-105.135, 40.1, 130.0
-105.135, 40.105, 10.0
-105.135, 40.11, 130.0
-105.135, 40.115, 130.0
-105.135, 40.12, 130.0
-105.135, 40.125, 10.0
-105.135, 40.13, 11.0
-105.135, 40.135, 130.0
-105.135, 40.14, 130.0
-105.135, 40.145, 190.0
-105.135, 40.15, 190.0
-105.135, 40.155, 190.0
-105.135, 40.16, 190.0
-105.135, 40.165, 190.0
-105.135, 40.17, 190.0
-105.135, 40.175, 190.0
-105.135, 40.18, 190.0
-105.135, 40.185, 190.0
-105.135, 40.19, 190.0
-105.13, 39.945, 130.0
-105.13, 39.95, 130.0
-105.13, 39.955, 11.0
-105.13, 39.96, 130.0
-105.13, 39.965, 130.0
-105.13, 39.97, 190.0
-105.13, 39.975, 190.0
-105.13, 39.98, 190.0
-105.13, 39.985, 190.0
-105.13, 39.99, 190.0
-105.13, 39.995, 190.0
-105.13, 40, 190.0
-105.13, 40.005, 130.0
-105.13, 40.01, 190.0
-105.13, 40.015, 190.0
-105.13, 40.02, 190.0
-105.13, 40.025, 190.0
-105.13, 40.03, 130.0
-105.13, 40.035, 10.0
-105.13, 40.04, 11.0
-105.13, 40.045, 11.0
-105.13, 40.05, 130.0
-105.13, 40.055, 130.0
-105.13, 40.06, 130.0
-105.13, 40.065, 130.0
-105.13, 40.07, 130.0
-105.13, 40.075, 130.0
