# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.2, 40.12, 40.0
-105.2, 40.125, 40.0
-105.2, 40.13, 130.0
-105.2, 40.135, 130.0
-105.2, 40.14, 210.0
-105.2, 40.145, 130.0
-105.2, 40.15, 130.0
-105.2, 40.155, 130.0
-105.2, 40.16, 130.0
-105.2, 40.165, 130.0
-105.2, 40.17, 130.0
-105.2, 40.175, 130.0
-105.2, 40.18, 130.0
-105.2, 40.185, 130.0
-105.2, 40.19, 40.0
-105.195, 39.945, 130.0
-105.195, 39.95, 130.0
-105.195, 39.955, 130.0
-105.195, 39.96, 130.0
-105.195, 39.965, 130.0
-105.195, 39.97, 130.0
-105.195, 39.975, 130.0
-105.195, 39.98, 130.0
-105.195, 39.985, 130.0
-105.195, 39.99, 130.0
-105.195, 39.995, 130.0
-105.195, 40, 130.0
-105.195, 40.005, 130.0
-105.195, 40.01, 130.0
-105.195, 40.015, 130.0
-105.195, 40.02, 200.0
-105.195, 40.025, 210.0
-105.195, 40.03, 210.0
-105.195, 40.035, 130.0
-105.195, 40.04, 210.0
-105.195, 40.045, 70.0
-105.195, 40.05, 130.0
-105.195, 40.055, 130.0
-105.195, 40.06, 190.0
-105.195, 40.065, 190.0
-105.195, 40.07, 190.0
-105.195, 40.075, 190.0
-105.195, 40.08, 130.0
-105.195, 40.085, 130.0
-105.195, 40.09, 130.0
-105.195, 40.095, 130.0
-105.195, 40.1, 130.0
-105.195, 40.105, 130.0
-105.195, 40.11, 130.0
-105.195, 40.115, 130.0
-105.195, 40.12, 130.0
-105.195, 40.125, 130.0
-105.195, 40.13, 130.0
-105.195, 40.135, 210.0
-105.195, 40.14, 190.0
-105.195, 40.145, 130.0
-105.195, 40.15, 130.0
-105.195, 40.155, 210.0
-105.195, 40.16, 130.0
-105.195, 40.165, 130.0
-105.195, 40.17, 130.0
-105.195, 40.175, 130.0
-105.195, 40.18, 130.0
-105.195, 40.185, 130.0
-105.195, 40.19, 130.0
-105.19, 39.945, 130.0
-105.19, 39.95, 130.0
-105.19, 39.955, 130.0
-105.19, 39.96, 130.0
-105.19, 39.965, 130.0
-105.19, 39.97, 130.0
-105.19, 39.975, 130.0
-105.19, 39.98, 130.0
-105.19, 39.985, 130.0
-105.19, 39.99, 130.0
-105.19, 39.995, 130.0
-105.19, 40, 130.0
-105.19, 40.005, 130.0
-105.19, 40.01, 40.0
-105.19, 40.015, 130.0
-105.19, 40.02, 130.0
-105.19, 40.025, 130.0
-105.19, 40.03, 210.0
-105.19, 40.035, 130.0
-105.19, 40.04, 130.0
-105.19, 40.045, 190.0
-105.19, 40.05, 190.0
-105.19, 40.055, 190.0
-105.19, 40.06, 190.0
-105.19, 40.065, 190.0
-105.19, 40.07, 190.0
-105.19, 40.075, 190.0
-105.19, 40.08, 130.0
-105.19, 40.085, 130.0
-105.19, 40.09, 130.0
-105.19, 40.095, 130.0
-105.19, 40.1, 130.0
-105.19, 40.105, 190.0
