# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.19, 40.115, 11.0
-105.19, 40.12, 130.0
-105.19, 40.125, 130.0
-105.19, 40.13, 130.0
-105.19, 40.135, 210.0
-105.19, 40.14, 210.0
-105.19, 40.145, 130.0
-105.19, 40.15, 130.0
-105.19, 40.155, 210.0
-105.19, 40.16, 130.0
-105.19, 40.165, 130.0
-105.19, 40.17, 40.0
-105.19, 40.175, 10.0
-105.19, 40.18, 40.0
-105.19, 40.185, 70.0
-105.19, 40.19, 130.0
-105.185, 39.945, 130.0
-105.185, 39.95, 130.0
-105.185, 39.955, 130.0
-105.185, 39.96, 130.0
-105.185, 39.965, 130.0
-105.185, 39.97, 130.0
-105.185, 39.975, 130.0
-105.185, 39.98, 130.0
-105.185, 39.985, 130.0
-105.185, 39.99, 130.0
-105.185, 39.995, 130.0
-105.185, 40, 130.0
-105.185, 40.005, 130.0
-105.185, 40.01, 40.0
-105.185, 40.015, 40.0
-105.185, 40.02, 130.0
-105.185, 40.025, 130.0
-105.185, 40.03, 210.0
-105.185, 40.035, 130.0
-105.185, 40.04, 130.0
-105.185, 40.045, 190.0
-105.185, 40.05, 130.0
-105.185, 40.055, 190.0
-105.185, 40.06, 190.0
-105.185, 40.065, 190.0
-105.185, 40.07, 130.0
-105.185, 40.075, 190.0
-105.185, 40.08, 130.0
-105.185, 40.085, 130.0
-105.185, 40.09, 130.0
-105.185, 40.095, 130.0
-105.185, 40.1, 130.0
-105.185, 40.105, 130.0
-105.185, 40.11, 11.0
-105.185, 40.115, 130.0
-105.185, 40.12, 130.0
-105.185, 40.125, 130.0
-105.185, 40.13, 130.0
-105.185, 40.135, 210.0
-105.185, 40.14, 130.0
-105.185, 40.145, 130.0
-105.185, 40.15, 130.0
-105.185, 40.155, 130.0
-105.185, 40.16, 130.0
-105.185, 40.165, 130.0
-105.185, 40.17, 10.0
-105.185, 40.175, 10.0
-105.185, 40.18, 70.0
-105.185, 40.185, 210.0
-105.185, 40.19, 130.0
-105.18, 39.945, 130.0
-105.18, 39.95, 130.0
-105.18, 39.955, 130.0
-105.18, 39.96, 130.0
-105.18, 39.965, 130.0
-105.18, 39.97, 130.0
-105.18, 39.975, 130.0
-105.18, 39.98, 130.0
-105.18, 39.985, 190.0
-105.18, 39.99, 190.0
-105.18, 39.995, 130.0
-105.18, 40, 190.0
-105.18, 40.005, 130.0
-105.18, 40.01, 190.0
-105.18, 40.015, 190.0
-105.18, 40.02, 130.0
-105.18, 40.025, 130.0
-105.18, 40.03, 130.0
-105.18, 40.035, 190.0
-105.18, 40.04, 190.0
-105.18, 40.045, 130.0
-105.18, 40.05, 130.0
-105.18, 40.055, 130.0
-105.18, 40.06, 190.0
-105.18, 40.065, 190.0
-105.18, 40.07, 190.0
-105.18, 40.075, 190.0
-105.18, 40.08, 130.0
-105.18, 40.085, 130.0
-105.18, 40.09, 130.0
-105.18, 40.095, 130.0
-105.18, 40.1, 190.0
