# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.31, 40.175, 70.0
-105.31, 40.18, 70.0
-105.31, 40.185, 70.0
-105.31, 40.19, 70.0
-105.305, 39.945, 70.0
-105.305, 39.95, 70.0
-105.305, 39.955, 70.0
-105.305, 39.96, 70.0
-105.305, 39.965, 70.0
-105.305, 39.97, 70.0
-105.305, 39.975, 70.0
-105.305, 39.98, 70.0
-105.305, 39.985, 70.0
-105.305, 39.99, 70.0
-105.305, 39.995, 70.0
-105.305, 40, 70.0
-105.305, 40.005, 70.0
-105.305, 40.01, 70.0
-105.305, 40.015, 70.0
-105.305, 40.02, 70.0
-105.305, 40.025, 70.0
-105.305, 40.03, 70.0
-105.305, 40.035, 130.0
-105.305, 40.04, 130.0
-105.305, 40.045, 70.0
-105.305, 40.05, 130.0
-105.305, 40.055, 130.0
-105.305, 40.06, 70.0
-105.305, 40.065, 70.0
-105.305, 40.07, 130.0
-105.305, 40.075, 130.0
-105.305, 40.08, 130.0
-105.305, 40.085, 130.0
-105.305, 40.09, 130.0
-105.305, 40.095, 70.0
-105.305, 40.1, 70.0
-105.305, 40.105, 70.0
-105.305, 40.11, 70.0
-105.305, 40.115, 130.0
-105.305, 40.12, 70.0
-105.305, 40.125, 130.0
-105.305, 40.13, 130.0
-105.305, 40.135, 130.0
-105.305, 40.14, 130.0
-105.305, 40.145, 70.0
-105.305, 40.15, 70.0
-105.305, 40.155, 70.0
-105.305, 40.16, 70.0
-105.305, 40.165, 70.0
-105.305, 40.17, 70.0
-105.305, 40.175, 70.0
-105.305, 40.18, 70.0
-105.305, 40.185, 70.0
-105.305, 40.19, 70.0
-105.3, 39.945, 70.0
-105.3, 39.95, 70.0
-105.3, 39.955, 70.0
-105.3, 39.96, 70.0
-105.3, 39.965, 70.0
-105.3, 39.97, 70.0
-105.3, 39.975, 70.0
-105.3, 39.98, 70.0
-105.3, 39.985, 70.0
-105.3, 39.99, 70.0
-105.3, 39.995, 70.0
-105.3, 40, 70.0
-105.3, 40.005, 70.0
-105.3, 40.01, 70.0
-105.3, 40.015, 70.0
-105.3, 40.02, 190.0
-105.3, 40.025, 190.0
-105.3, 40.03, 130.0
-105.3, 40.035, 190.0
-105.3, 40.04, 190.0
-105.3, 40.045, 130.0
-105.3, 40.05, 130.0
-105.3, 40.055, 130.0
-105.3, 40.06, 130.0
-105.3, 40.065, 130.0
-105.3, 40.07, 130.0
-105.3, 40.075, 130.0
-105.3, 40.08, 130.0
-105.3, 40.085, 130.0
-105.3, 40.09, 130.0
-105.3, 40.095, 130.0
-105.3, 40.1, 130.0
-105.3, 40.105, 130.0
-105.3, 40.11, 130.0
-105.3, 40.115, 130.0
-105.3, 40.12, 130.0
-105.3, 40.125, 130.0
-105.3, 40.13, 130.0
-105.3, 40.135, 130.0
-105.3, 40.14, 130.0
-105.3, 40.145, 70.0
-105.3, 40.15, 70.0
-105.3, 40.155, 70.0
-105.3, 40.16, 70.0
