# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.04, 40.04, 130.0
-105.04, 40.045, 130.0
-105.04, 40.05, 130.0
-105.04, 40.055, 130.0
-105.04, 40.06, 130.0
-105.04, 40.065, 130.0
-105.04, 40.07, 130.0
-105.04, 40.075, 130.0
-105.04, 40.08, 130.0
-105.04, 40.085, 10.0
-105.04, 40.09, 10.0
-105.04, 40.095, 130.0
-105.04, 40.1, 130.0
-105.04, 40.105, 130.0
-105.04, 40.11, 120.0
-105.04, 40.115, 130.0
-105.04, 40.12, 130.0
-105.04, 40.125, 10.0
-105.04, 40.13, 10.0
-105.04, 40.135, 10.0
-105.04, 40.14, 10.0
-105.04, 40.145, 10.0
-105.04, 40.15, 130.0
-105.04, 40.155, 130.0
-105.04, 40.16, 11.0
-105.04, 40.165, 130.0
-105.04, 40.17, 130.0
-105.04, 40.175, 210.0
-105.04, 40.18, 210.0
-105.04, 40.185, 210.0
-105.04, 40.19, 210.0
-105.035, 39.945, 130.0
-105.035, 39.95, 190.0
-105.035, 39.955, 130.0
-105.035, 39.96, 130.0
-105.035, 39.965, 130.0
-105.035, 39.97, 130.0
-105.035, 39.975, 130.0
-105.035, 39.98, 130.0
-105.035, 39.985, 130.0
-105.035, 39.99, 130.0
-105.035, 39.995, 130.0
-105.035, 40, 130.0
-105.035, 40.005, 130.0
-105.035, 40.01, 130.0
-105.035, 40.015, 130.0
-105.035, 40.02, 130.0
-105.035, 40.025, 130.0
-105.035, 40.03, 130.0
-105.035, 40.035, 130.0
-105.035, 40.04, 130.0
-105.035, 40.045, 130.0
-105.035, 40.05, 130.0
-105.035, 40.055, 130.0
-105.035, 40.06, 130.0
-105.035, 40.065, 130.0
-105.035, 40.07, 130.0
-105.035, 40.075, 130.0
-105.035, 40.08, 130.0
-105.035, 40.085, 130.0
-105.035, 40.09, 130.0
-105.035, 40.095, 130.0
-105.035, 40.1, 130.0
-105.035, 40.105, 130.0
-105.035, 40.11, 120.0
-105.035, 40.115, 120.0
-105.035, 40.12, 120.0
-105.035, 40.125, 130.0
-105.035, 40.13, 10.0
-105.035, 40.135, 10.0
-105.035, 40.14, 10.0
-105.035, 40.145, 130.0
-105.035, 40.15, 120.0
-105.035, 40.155, 130.0
-105.035, 40.16, 130.0
-105.035, 40.165, 130.0
-105.035, 40.17, 130.0
-105.035, 40.175, 210.0
-105.035, 40.18, 210.0
-105.035, 40.185, 210.0
-105.035, 40.19, 210.0
-105.03, 39.945, 130.0
-105.03, 39.95, 130.0
-105.03, 39.955, 130.0
-105.03, 39.96, 130.0
-105.03, 39.965, 130.0
-105.03, 39.97, 130.0
-105.03, 39.975, 130.0
-105.03, 39.98, 130.0
-105.03, 39.985, 130.0
-105.03, 39.99, 130.0
-105.03, 39.995, 130.0
-105.03, 40, 130.0
-105.03, 40.005, 130.0
-105.03, 40.01, 130.0
-105.03, 40.015, 130.0
-105.03, 40.02, 130.0
-105.03, 40.025, 130.0
