# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.11, 40.075, 10.0
-105.11, 40.08, 10.0
-105.11, 40.085, 10.0
-105.11, 40.09, 10.0
-105.11, 40.095, 10.0
-105.11, 40.1, 10.0
-105.11, 40.105, 130.0
-105.11, 40.11, 10.0
-105.11, 40.115, 40.0
-105.11, 40.12, 210.0
-105.11, 40.125, 11.0
-105.11, 40.13, 130.0
-105.11, 40.135, 190.0
-105.11, 40.14, 190.0
-105.11, 40.145, 190.0
-105.11, 40.15, 190.0
-105.11, 40.155, 190.0
-105.11, 40.16, 190.0
-105.11, 40.165, 190.0
-105.11, 40.17, 190.0
-105.11, 40.175, 190.0
-105.11, 40.18, 190.0
-105.11, 40.185, 190.0
-105.11, 40.19, 190.0
-105.105, 39.945, 130.0
-105.105, 39.95, 130.0
-105.105, 39.955, 130.0
-105.105, 39.96, 130.0
-105.105, 39.965, 10.0
-105.105, 39.97, 130.0
-105.105, 39.975, 130.0
-105.105, 39.98, 190.0
-105.105, 39.985, 190.0
-105.105, 39.99, 190.0
-105.105, 39.995, 190.0
-105.105, 40, 190.0
-105.105, 40.005, 190.0
-105.105, 40.01, 190.0
-105.105, 40.015, 190.0
-105.105, 40.02, 190.0
-105.105, 40.025, 130.0
-105.105, 40.03, 40.0
-105.105, 40.035, 130.0
-105.105, 40.04, 10.0
-105.105, 40.045, 130.0
-105.105, 40.05, 130.0
-105.105, 40.055, 130.0
-105.105, 40.06, 130.0
-105.105, 40.065, 130.0
-105.105, 40.07, 130.0
-105.105, 40.075, 40.0
-105.105, 40.08, 10.0
-105.105, 40.085, 10.0
-105.105, 40.09, 10.0
-105.105, 40.095, 10.0
-105.105, 40.1, 10.0
-105.105, 40.105, 10.0
-105.105, 40.11, 10.0
-105.105, 40.115, 10.0
-105.105, 40.12, 11.0
-105.105, 40.125, 11.0
-105.105, 40.13, 10.0
-105.105, 40.135, 190.0
-105.105, 40.14, 190.0
-105.105, 40.145, 190.0
-105.105, 40.15, 190.0
-105.105, 40.155, 190.0
-105.105, 40.16, 190.0
-105.105, 40.165, 190.0
-105.105, 40.17, 190.0
-105.105, 40.175, 190.0
-105.105, 40.18, 190.0
-105.105, 40.185, 190.0
-105.105, 40.19, 190.0
-105.1, 39.945, 130.0
-105.1, 39.95, 130.0
-105.1, 39.955, 130.0
-105.1, 39.96, 130.0
-105.1, 39.965, 130.0
-105.1, 39.97, 130.0
-105.1, 39.975, 130.0
-105.1, 39.98, 130.0
-105.1, 39.985, 190.0
-105.1, 39.99, 190.0
-105.1, 39.995, 190.0
-105.1, 40, 190.0
-105.1, 40.005, 190.0
-105.1, 40.01, 130.0
-105.1, 40.015, 130.0
-105.1, 40.02, 190.0
-105.1, 40.025, 130.0
-105.1, 40.03, 130.0
-105.1, 40.035, 10.0
-105.1, 40.04, 40.0
-105.1, 40.045, 130.0
-105.1, 40.05, 190.0
-105.1, 40.055, 130.0
-105.1, 40.06, 130.0
