# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.18, 40.11, 130.0
-105.18, 40.115, 130.0
-105.18, 40.12, 40.0
-105.18, 40.125, 130.0
-105.18, 40.13, 130.0
-105.18, 40.135, 130.0
-105.18, 40.14, 130.0
-105.18, 40.145, 130.0
-105.18, 40.15, 130.0
-105.18, 40.155, 11.0
-105.18, 40.16, 130.0
-105.18, 40.165, 130.0
-105.18, 40.17, 10.0
-105.18, 40.175, 40.0
-105.18, 40.18, 40.0
-105.18, 40.185, 130.0
-105.18, 40.19, 190.0
-105.175, 39.945, 130.0
-105.175, 39.95, 130.0
-105.175, 39.955, 130.0
-105.175, 39.96, 190.0
-105.175, 39.965, 130.0
-105.175, 39.97, 190.0
-105.175, 39.975, 130.0
-105.175, 39.98, 130.0
-105.175, 39.985, 190.0
-105.175, 39.99, 190.0
-105.175, 39.995, 190.0
-105.175, 40, 130.0
-105.175, 40.005, 130.0
-105.175, 40.01, 190.0
-105.175, 40.015, 190.0
-105.175, 40.02, 130.0
-105.175, 40.025, 130.0
-105.175, 40.03, 40.0
-105.175, 40.035, 10.0
-105.175, 40.04, 130.0
-105.175, 40.045, 190.0
-105.175, 40.05, 130.0
-105.175, 40.055, 130.0
-105.175, 40.06, 130.0
-105.175, 40.065, 190.0
-105.175, 40.07, 130.0
-105.175, 40.075, 190.0
-105.175, 40.08, 130.0
-105.175, 40.085, 130.0
-105.175, 40.09, 130.0
-105.175, 40.095, 190.0
-105.175, 40.1, 190.0
-105.175, 40.105, 190.0
-105.175, 40.11, 130.0
-105.175, 40.115, 130.0
-105.175, 40.12, 130.0
-105.175, 40.125, 11.0
-105.175, 40.13, 130.0
-105.175, 40.135, 40.0
-105.175, 40.14, 130.0
-105.175, 40.145, 130.0
-105.175, 40.15, 130.0
-105.175, 40.155, 130.0
-105.175, 40.16, 10.0
-105.175, 40.165, 130.0
-105.175, 40.17, 130.0
-105.175, 40.175, 130.0
-105.175, 40.18, 130.0
-105.175, 40.185, 210.0
-105.175, 40.19, 130.0
-105.17, 39.945, 130.0
-105.17, 39.95, 130.0
-105.17, 39.955, 190.0
-105.17, 39.96, 190.0
-105.17, 39.965, 190.0
-105.17, 39.97, 190.0
-105.17, 39.975, 130.0
-105.17, 39.98, 190.0
-105.17, 39.985, 190.0
-105.17, 39.99, 190.0
-105.17, 39.995, 190.0
-105.17, 40, 190.0
-105.17, 40.005, 10.0
-105.17, 40.01, 130.0
-105.17, 40.015, 130.0
-105.17, 40.02, 130.0
-105.17, 40.025, 130.0
-105.17, 40.03, 130.0
-105.17, 40.035, 130.0
-105.17, 40.04, 190.0
-105.17, 40.045, 130.0
-105.17, 40.05, 40.0
-105.17, 40.055, 130.0
-105.17, 40.06, 130.0
-105.17, 40.065, 130.0
-105.17, 40.07, 130.0
-105.17, 40.075, 130.0
-105.17, 40.08, 130.0
-105.17, 40.085, 130.0
-105.17, 40.09, 130.0
-105.17, 40.095, 190.0
