-105.17,40.1
-105.17,40.105
-105.17,40.11
-105.17,40.115
-105.17,40.12
-105.17,40.125
-105.17,40.13
-105.17,40.135
-105.17,40.14
-105.17,40.145
-105.17,40.15
-105.17,40.155
-105.17,40.16
-105.17,40.165
-105.17,40.17
-105.17,40.175
-105.17,40.18
-105.17,40.185
-105.17,40.19
-105.165,39.945
-105.165,39.95
-105.165,39.955
-105.165,39.96
-105.165,39.965
-105.165,39.97
-105.165,39.975
-105.165,39.98
-105.165,39.985
-105.165,39.99
-105.165,39.995
-105.165,40
-105.165,40.005
-105.165,40.01
-105.165,40.015
-105.165,40.02
-105.165,40.025
-105.165,40.03
-105.165,40.035
-105.165,40.04
-105.165,40.045
-105.165,40.05
-105.165,40.055
-105.165,40.06
-105.165,40.065
-105.165,40.07
-105.165,40.075
-105.165,40.08
-105.165,40.085
-105.165,40.09
-105.165,40.095
-105.165,40.1
-105.165,40.105
-105.165,40.11
-105.165,40.115
-105.165,40.12
-105.165,40.125
-105.165,40.13
-105.165,40.135
-105.165,40.14
-105.165,40.145
-105.165,40.15
-105.165,40.155
-105.165,40.16
-105.165,40.165
-105.165,40.17
-105.165,40.175
-105.165,40.18
-105.165,40.185
-105.165,40.19
-105.16,39.945
-105.16,39.95
-105.16,39.955
-105.16,39.96
-105.16,39.965
-105.16,39.97
-105.16,39.975
-105.16,39.98
-105.16,39.985
-105.16,39.99
-105.16,39.995
-105.16,40
-105.16,40.005
-105.16,40.01
-105.16,40.015
-105.16,40.02
-105.16,40.025
-105.16,40.03
-105.16,40.035
-105.16,40.04
-105.16,40.045
-105.16,40.05
-105.16,40.055
-105.16,40.06
-105.16,40.065
-105.16,40.07
-105.16,40.075
-105.16,40.08
-105.16,40.085
-105.16,40.09
